iter	Passed	Remaining
399	14969	22453
400	14995	22399
401	15017	22339
402	15044	22286
403	15068	22230
404	15094	22175
405	15117	22117
406	15142	22062
407	15165	22005
408	15193	21954
409	15216	21896
410	15242	21843
411	15264	21785
412	15290	21732
413	15316	21679
414	15339	21623
415	15364	21569
416	15392	21519
417	15419	21468
418	15444	21415
419	15470	21363
420	15495	21311
421	15525	21264
422	15555	21219
423	15581	21167
424	15610	21120
425	15639	21072
426	15661	21016
427	15686	20963
428	15711	20912
429	15738	20862
430	15763	20811
431	1579427	1730432	1581428	1733433	15851	20672
434	15877	20622
435	15908	20578
436	15939	20535
437	15967	20487
438	15991	20435
439	16018	20387
440	16044	20337
441	16071	20289
442	16102	20246
443	16131	20200
444	16155	20148
445	16183	20102
446	16209	20053
447	16251	20023
448	16279	19977
449	16309	19933
450	16338	19889
451	16369	19846
452	16398	19801
453	16426	19755
454	16458	19714
455	16488	19670
456	16520	19628
457	16549	19585
458	16581	19543
459	16609	19497
460	16637	19452
461	16665	19407
462	16695	19364
463	16721	19315
464	16750	19271
465	16782	19231
466	16810	19186
467	16840	19143
468	16869	19099
469	16900	19057
470	16925	19009
471	16949	18959
472	16974	18912
473	16997	18862
474	17022	18813
475	17046	18765
476	17071	18717
477	17100	18674
478	1712474	1863479	1715475	1866480	1717476	1869481	1720477	1872482	1723478	1875483	1725479	1877484	1727480	1880485	1730481	1883486	1732482	1886487	1735483	1889488	1738484	1891489	1741485	18952	20043
486	1898491	1747487	1900492	1749488	1903493	1752489	1905494	1755490	1908495	1758491	1911496	1761492	1913497	1764493	1916498	1767494	1919499	1770495	1921500	1772496	1924501	1775497	1926502	1778498	1929503	1781499	1932504	1784500	1935505	17872	17449
506	17903	17409
507	17930	17365
508	17956	17321
509	17985	17280
510	18008	17233
511	18040	17195
512	18067	17151
513	18091	17106
514	18120	17065
515	18146	17021
516	18169	16974
517	18193	16929
518	18219	16885
519	18248	16844
520	18276	16802
521	1830517	1981522	1832518	1984523	1835519	1986524	1838520	1989525	1840521	1992526	1843522	1994527	18465	16507
528	18494	16467
529	18520	16424
530	18548	16382
531	18578	16343
532	18602	16298
533	18631	16259
534	18657	16216
535	18685	16175
536	18712	16133
537	18739	16092
538	18767	16051
539	18794	16009
540	18819	15967
541	18847	15926
542	18873	15884
543	18899	15842
544	18927	15801
545	18954	15760
546	18979	15717
547	19002	15673
548	19029	15632
549	19053	15589
550	19080	15548
551	19108	15508
552	19134	15466
553	1916549	2067554	19191	15387
555	19220	15349
556	19247	15307
557	19275	15268
558	19305	15230
559	19328	15186
560	19358	15148
561	19385	15108
562	19410	15066
563	19437	15026
564	19460	14983
565	19488	14943
566	19517	14904
567	19544	14864
568	19573	14826
