iter	Logloss
209	0.1177006139
210	0.1173235295
211	0.1171910793
212	0.1169267775
213	0.1168229127
214	0.116530623
215	0.1164533434
216	0.116251909
217	0.1161120464
218	0.1157819886
219	0.1156969476
220	0.1154491221
221	0.1153856572
222	0.1152370334
223	0.1148836844
224	0.1148078081
225	0.1147362468
226	0.1144824319
227	0.1142825996
228	0.1142265843
229	0.1140638542
230	0.1139172274
231	0.1137069332
232	0.113410117
233	0.1132915128
234	0.1127108142
235	0.1126108335
236	0.1123630608
237	0.1122727915
238	0.1120859543
239	0.1119880766
240	0.1117041301
241	0.1116171369
242	0.1114074977
243	0.1113603988
244	0.1112645845
245	0.1109519873
246	0.1107923609
247	0.110693549
248	0.110401632
249	0.1103192195
250	0.1101533828
251	0.1100565741
252	0.1099464988
253	0.1098547017
254	0.1096127799
255	0.1094477038
256	0.1093226517
257	0.1092338083
258	0.1091254601
259	0.1090100508
260	0.1089263861
261	0.1087716187
262	0.108642997
263	0.1084763259
264	0.1083569703
265	0.1082779761
266	0.1081731177
267	0.1079587587
268	0.1078693121
269	0.1077060889
270	0.1074230586
271	0.1073740553
272	0.1072576724
273	0.1071655723
274	0.1069465125
275	0.1067090322
276	0.106453258
277	0.1063401867
278	0.1061713715
279	0.1060407897
280	0.1059582041
281	0.1058305984
282	0.1055751204
283	0.1053354539
284	0.1052590756
285	0.1049948618
286	0.1047947152
287	0.1047043198
288	0.1045271449
289	0.1041733277
290	0.1039565157
291	0.1039172574
292	0.1038247733
293	0.1036794353
294	0.1035915526
295	0.1034782328
296	0.103421182
297	0.1030851359
298	0.1030032124
299	0.10293418
300	0.1027712328
301	0.1025790866
302	0.1025092093
303	0.1023264361
304	0.1022120534
305	0.1021291437
306	0.1019838916
307	0.1018049391
308	0.1015470993
309	0.1011722919
310	0.100939689
311	0.100842258
312	0.100763129
313	0.1006845421
314	0.1006045061
315	0.1004196191
316	0.1002911585
317	0.1002621938
318	0.100035989
319	0.09981642635
320	0.09956093844
321	0.09944360844
322	0.09937720964
323	0.09912513479
324	0.09888591728
325	0.09842957836
326	0.09824651867
327	0.09804770801
328	0.09795124183
329	0.09776153728
330	0.09758754108
331	0.09752890465
332	0.09737034472
333	0.09729287021
334	0.09711992736
335	0.09705242831
336	0.09699698752
337	0.09693473741
338	0.09686595769
339	0.09682412642
340	0.09668303737
341	0.09661085346
342	0.09646969411
343	0.09644161365
344	0.09642999773
345	0.09626709968
346	0.09621696003
347	0.09615980433
348	0.09597165998
349	0.09592522351
350	0.09587437371
351	0.09581151603
352	0.09565337133
353	0.09558091579
354	0.09545338132
355	0.09537086384
356	0.09525400916
357	0.09516871785
358	0.09507983999
359	0.09496596916
360	0.09492674763
361	0.09485441363
362	0.09477639925
363	0.09472034611
364	0.09462146541
365	0.09457386667
366	0.0945338695
367	0.09447394383
368	0.09435396321
369	0.09434755852
370	0.0942092537
371	0.09415674181
372	0.09410102706
373	0.09400786422
374	0.09379625914
375	0.0936008689
376	0.0934774552
377	0.09340249797
378	0.09326608008
379	0.09322743383
380	0.09317896278
381	0.09310250617
382	0.09304388581
383	0.09301283235
384	0.09287500522
385	0.0928361956
386	0.09268496552
387	0.09261554511
388	0.09258105547
389	0.09253002886
390	0.0924417696
391	0.09240334407
392	0.09226753526
393	0.092128501
394	0.09197819567
395	0.09183154342
396	0.09178195545
397	0.09166958339
398	0.09158240076
399	0.09154239246
400	0.0913341996
401	0.09129469018
402	0.09112959723
403	0.09104470242
404	0.09097273054
405	0.09091021916
406	0.090872303
407	0.09083937322
408	0.09077428123
409	0.09071317473
410	0.09064276528
411	0.09056131231
412	0.09042712245
413	0.09029799401
414	0.09018133786
415	0.09012104419
416	0.09004962058
417	0.0900228218
418	0.09001798985
419	0.08998621173
420	0.08992022958
421	0.08988645381
422	0.08976211728
423	0.08966134685
424	0.08961310293
425	0.08950284088
426	0.08943311389
427	0.08926516852
428	0.08915070697
429	0.08894273615
430	0.0888008947
431	0.08875002434
432	0.08866885345
433	0.08857656396
434	0.08843493698
435	0.0883491423
436	0.08820491864
437	0.08804913186
438	0.08801214198
439	0.08794769718
440	0.08790152235
441	0.0878182699
442	0.08769438761
443	0.08762638724
444	0.08748733542
445	0.08741315788
446	0.08736542011
447	0.08733347942
448	0.08726699457
449	0.08717165194
450	0.08713058512
451	0.08707462032
452	0.08700368623
453	0.08694685435
454	0.08678749493
455	0.08673395282
456	0.08667681606
457	0.08664743924
458	0.08658956353
459	0.08655779186
460	0.0865270082
461	0.08648489775
462	0.08645267974
463	0.08635436523
464	0.08629520664
465	0.08618409182
466	0.08614464724
467	0.08608902713
468	0.08600608219
469	0.08588826235
470	0.0857559253
471	0.08568683103
472	0.08562811431
473	0.08560625418
474	0.0854864774
475	0.08539338645
476	0.08529937214
477	0.08519681378
478	0.0850908499
479	0.08502427743
480	0.08488497623
481	0.08476732412
482	0.08469970123
483	0.08462740979
484	0.08459626399
485	0.08449434232
486	0.08446507046
487	0.08443356506
488	0.08438529126
489	0.0843465649
490	0.084268895
491	0.08419615068
492	0.08414559366
493	0.08404153759
494	0.08395641506
495	0.08393260677
496	0.08387782624
497	0.08380217496
498	0.08369388768
499	0.08366505461
500	0.08355896606
501	0.08343538231
502	0.08341493889
503	0.08338714546
504	0.08329760303
505	0.0832449828
506	0.08313975965
507	0.08310600028
508	0.08300088644
509	0.08291320706
510	0.08287785796
511	0.08274955431
512	0.0826365702
513	0.08258768668
514	0.08248907386
515	0.08244077412
516	0.08239154747
517	0.08235872134
518	0.08221456223
519	0.08219770996
520	0.08214982524
521	0.08208689315
522	0.08205761867
523	0.08200596437
524	0.08191549924
525	0.08182092241
526	0.08179840051
527	0.08172352178
528	0.08166124786
529	0.08157752073
530	0.08146900481
531	0.08138311251
532	0.08135437125
533	0.08131827376
534	0.08121386886
535	0.08117607197
536	0.08114242915
537	0.08100349152
538	0.08096195269
539	0.08093351117
540	0.08090209913
541	0.08080883004
542	0.08078655945
543	0.0807271873
544	0.08064775961
545	0.08059883783
546	0.08048331948
547	0.08038615055
548	0.08025737592
549	0.0802140807
550	0.08012341991
551	0.08005499725
552	0.07998230953
553	0.0799465435
554	0.0798331643
555	0.07976518236
556	0.07973543434
557	0.07962095362
558	0.07957759002
559	0.07951800369
560	0.07944085566
561	0.07940430936
562	0.079333236
563	0.07926584409
564	0.07921736593
565	0.07912955939
566	0.07904752601
567	0.07892951287
568	0.07883118521
569	0.07878028389
570	0.07870329843
571	0.07860005481
572	0.07850548914
573	0.07844535742
574	0.07844241255
575	0.07833982557
576	0.07832250587
577	0.07824018466
578	0.0782138516
579	0.07815707225
580	0.07811919222
581	0.07806193415
582	0.07799692599
583	0.07790843154
584	0.0778306707
585	0.07781660304
586	0.07777979786
587	0.07772894219
588	0.07761505363
589	0.07754028422
590	0.0774350186
591	0.07739448101
592	0.07729922018
593	0.07725809683
594	0.07720448318
595	0.07713112587
596	0.07702138014
597	0.07691109183
598	0.07682088893
599	0.07674585095
600	0.07667020993
601	0.07660585216
602	0.07654888235
603	0.0765172165
604	0.07645317825
605	0.07632432794
606	0.07627605672
607	0.07623959406
608	0.07618858156
609	0.07612766832
610	0.07603501219
611	0.07601099273
612	0.07595577272
613	0.07590753614
614	0.07586645456
615	0.07581988067
616	0.07571444311
617	0.07565826111
618	0.07558190474
619	0.07555235191
620	0.07544392362
621	0.07539478487
622	0.07530027296
623	0.07526687571
624	0.07521668607
625	0.07520599168
626	0.07513700546
627	0.07510397188
628	0.07501803769
629	0.07498076601
630	0.0748710034
631	0.07481009716
632	0.07479038383
633	0.07473104396
634	0.07467487847
635	0.07464114264
636	0.07457121088
637	0.07453831666
638	0.07448052216
639	0.07439453568
640	0.07437021637
641	0.07430947422
642	0.07422245575
643	0.07419914618
644	0.07413853116
645	0.07410932761
646	0.07404087412
647	0.07393964467
648	0.07384161946
649	0.07380509494
650	0.07375179757
651	0.07364510313
652	0.07357878096
653	0.07347317815
654	0.07341672029
655	0.07331634179
656	0.07328413864
657	0.07322625568
658	0.07317185304
659	0.0730897686
660	0.07299960828
661	0.07295882995
662	0.07287677246
663	0.07279832457
664	0.07272533263
665	0.0726893707
666	0.07263123563
667	0.07257164298
668	0.07249570852
669	0.07245503674
670	0.07240994408
671	0.07237392936
672	0.07228367043
673	0.07223961106
674	0.07218669895
675	0.07213727624
676	0.07206695861
677	0.07200110243
678	0.07195193502
679	0.07191731022
680	0.07186892606
681	0.07179953403
682	0.07173871389
683	0.07169151076
684	0.07160446814
685	0.07157539972
686	0.07151206666
687	0.07146226473
688	0.07138349567
689	0.07133806454
690	0.07126303469
691	0.0712272721
692	0.07120195667
693	0.07115170352
694	0.07111539399
695	0.07105760155
696	0.07099843097
697	0.07092393782
698	0.07086686225
699	0.07077467168
700	0.07068789659
701	0.07062935577
702	0.07057070909
703	0.07052831735
704	0.07051768942
705	0.07046113004
706	0.07040646361
707	0.07035854226
708	0.07027316114
709	0.0702241082
710	0.07016115953
711	0.07007700782
712	0.07005304632
713	0.06997182055
714	0.06994962131
715	0.06989468194
716	0.06982641207
717	0.06976172231
718	0.06970425439
719	0.06966137912
720	0.06964637475
721	0.06961248577
722	0.06953320035
723	0.06942961936
724	0.06939375651
725	0.0693533777
726	0.069277738
727	0.06924884381
728	0.06917541146
729	0.06908924589
730	0.069003476
731	0.06894294225
732	0.06886767278
733	0.06881245893
734	0.06877809735
735	0.06875106321
736	0.06867683833
737	0.0686197764
738	0.06856241891
739	0.06852510624
740	0.06848485593
741	0.06845708891
742	0.06842768844
743	0.06832763585
744	0.06828726127
745	0.06822393014
746	0.06819075572
747	0.06811059695
748	0.06808040541
749	0.06800624834
750	0.06799004086
751	0.06791903153
752	0.06787712589
753	0.06785034742
754	0.06777670293
755	0.06775547211
756	0.06768983241
757	0.06764158788
758	0.06762893247
759	0.0675781993
760	0.06754960074
761	0.06752281032
762	0.06750296845
763	0.06742454687
764	0.06737164215
765	0.06732263675
766	0.06721869509
767	0.0671444643
768	0.06710054434
769	0.06705401547
770	0.06701490948
771	0.06695535835
772	0.06692481515
773	0.06687149228
774	0.06684607321
775	0.06681572666
776	0.06677455396
777	0.06674807387
778	0.06664904716
779	0.06659997419
780	0.06655006736
781	0.06652828106
782	0.06651115163
783	0.06643534881
784	0.06641835468
785	0.06635107584
786	0.06632103244
787	0.06629364661
788	0.06622403351
789	0.06615124058
790	0.06610084579
791	0.06606375659
792	0.06599130012
793	0.06591005763
794	0.06583591106
795	0.06576031391
796	0.06571688656
797	0.06566344126
798	0.06557457118
799	0.06551439522
800	0.0654588847
801	0.06540725096
802	0.06533624053
803	0.06529482053
804	0.06524516714
805	0.06520639739
806	0.06517410695
807	0.06512261204
808	0.06508349417
809	0.06503428829
810	0.06497941453
811	0.06490956238
812	0.0648547184
813	0.0648267952
814	0.06479278916
815	0.06477962
816	0.0647242078
817	0.06468333103
818	0.06461329324
819	0.0645379191
820	0.06449343247
821	0.06442558094
822	0.06436263808
823	0.06429821453
824	0.06421892837
825	0.06416820494
826	0.06411221943
827	0.06407939127
828	0.06405428955
829	0.06402980256
830	0.06399740539
831	0.06395922759
832	0.06392485326
833	0.06386845304
834	0.06383445292
835	0.06379317011
836	0.06373240182
837	0.06368754285
838	0.06365327223
839	0.0636359709
840	0.06360745436
841	0.06359249189
842	0.06354579417
843	0.0635218624
844	0.063470567
845	0.06344778077
846	0.06340710834
847	0.06338490681
848	0.0633601349
849	0.06334375773
850	0.06328581649
851	0.06325914411
852	0.06319753687
853	0.0631479077
854	0.06312517805
855	0.0630869202
856	0.06303766193
857	0.06302102014
858	0.06297892919
859	0.0629282679
860	0.06287395011
861	0.06284890534
862	0.06283571448
863	0.062810416
864	0.06279475725
865	0.06272509642
866	0.06267252032
867	0.06263185192
868	0.06260923212
869	0.06256366768
870	0.06253502179
871	0.06252799284
872	0.06249550047
873	0.06244116692
874	0.06233098249
875	0.06230626046
876	0.06224408643
877	0.06223800527
878	0.06219675467
879	0.06215795406
880	0.06210063322
881	0.06209757351
882	0.06205457792
883	0.06198238623
884	0.06188720696
885	0.06184409263
886	0.06182954002
887	0.06178344094
888	0.06177321954
889	0.0617143236
890	0.06167566964
891	0.06166951708
892	0.06162721234
893	0.0615802229
894	0.06155803705
895	0.06151489257
896	0.06149220988
897	0.06144097328
898	0.06143503187
899	0.06140450959
900	0.06135814798
901	0.0613357854
902	0.06127041464
903	0.06124352186
904	0.06120789021
905	0.06118139432
906	0.06112383641
907	0.06104609811
908	0.06102396095
909	0.06093957484
910	0.06089590416
911	0.06086558053
912	0.06081669915
913	0.06073775308
914	0.06071905531
915	0.06063126628
916	0.06059031718
917	0.06054250774
918	0.06051527015
919	0.06049621777
920	0.06044302035
921	0.06038528105
922	0.06031874677
923	0.06027533145
924	0.06023960122
925	0.06022750238
926	0.0601555548
927	0.06013170544
928	0.06009611915
929	0.06009068467
930	0.06003172781
931	0.06001791064
932	0.06001357296
933	0.05996525957
934	0.05992934277
935	0.0598562771
936	0.05980188533
937	0.05976696614
938	0.05972786785
939	0.05969347143
940	0.05968930023
941	0.05963876983
942	0.05957863988
943	0.05954902556
944	0.05950948096
945	0.05947035837
946	0.05940911541
947	0.05938505278
948	0.05933003155
949	0.05930614658
950	0.05929296602
951	0.05927043152
952	0.05924838659
953	0.05919530893
954	0.05914750951
955	0.05911930742
956	0.05905883111
957	0.05901222486
958	0.05900715117
959	0.05892941799
960	0.05890056266
961	0.05887849984
962	0.05883182005
963	0.05874806141
964	0.05872689769
965	0.05871410736
966	0.05870421123
967	0.05868293436
968	0.05865683208
969	0.05862499956
970	0.05858739383
971	0.0585594263
972	0.05852390164
973	0.05850238363
974	0.05848163455
975	0.0584647952
976	0.05840441089
977	0.05838997969
978	0.05835870432
979	0.05832710289
980	0.05829521949
981	0.05825598943
982	0.05823003351
983	0.05817901363
984	0.05811380472
985	0.05809705855
986	0.05803759434
987	0.05800659544
988	0.05796699846
989	0.05794907301
990	0.05792850725
991	0.0578592847
992	0.0578394962
993	0.05780779063
994	0.05779080193
995	0.05775007003
996	0.05772075242
997	0.05770067395
998	0.05766086951
999	0.05757193668
